time,type,truth,guess
2/16/2020 17:51:22,pie,82.14285714285714,90
2/16/2020 17:51:22,pie,74.35897435897436,80
2/16/2020 18:26:45,radial,93.33333333333333,90
2/16/2020 18:26:45,radial,16.129032258064516,22
2/16/2020 18:26:45,radial,83.69565217391305,83
2/16/2020 18:26:45,small-multiple,86.36363636363636,83
2/16/2020 18:26:45,small-multiple,61.971830985915496,62.5
2/16/2020 18:26:45,small-multiple,41.666666666666664,50
2/16/2020 18:26:45,bar,42.64705882352941,40
2/16/2020 18:26:45,bar,22.916666666666668,20
2/16/2020 18:26:45,bar,75.75757575757575,80
2/16/2020 18:26:45,pie,88.37209302325581,90
2/16/2020 18:26:45,pie,94.5945945945946,100
2/16/2020 18:26:45,pie,54.54545454545455,62.5
2/16/2020 20:55:36,radial,50,50
2/16/2020 20:55:36,radial,38.888888888888886,33
2/16/2020 20:55:36,radial,32.467532467532465,25
2/16/2020 20:55:36,small-multiple,53.191489361702125,55
2/16/2020 20:55:36,small-multiple,38.27160493827161,37
2/16/2020 20:55:36,small-multiple,7.407407407407407,20
2/16/2020 20:55:36,bar,53.57142857142857,50
2/16/2020 20:55:36,bar,66.66666666666667,66
2/16/2020 20:55:36,bar,59.01639344262295,60
2/16/2020 20:55:36,pie,98.64864864864865,100
2/16/2020 20:55:36,pie,75,65
2/16/2020 20:55:36,pie,100,100
2/17/2020 11:25:2,radial,23.076923076923077,25
2/17/2020 11:25:2,radial,75.64102564102564,75
2/17/2020 11:25:2,radial,11.627906976744185,12.5
2/17/2020 11:25:2,small-multiple,100,100
2/17/2020 11:25:2,small-multiple,69.49152542372882,50
2/17/2020 11:25:2,small-multiple,64.51612903225806,73
2/17/2020 11:25:2,bar,75.86206896551724,75
2/17/2020 11:25:2,bar,8.16326530612245,10
2/17/2020 11:25:2,bar,55.10204081632653,60
2/17/2020 11:25:2,pie,50,33
2/17/2020 11:25:2,pie,92.3076923076923,90
2/17/2020 11:25:2,pie,95.5223880597015,100
2/17/2020 13:1:57,radial,10.256410256410257,10
2/17/2020 13:1:57,radial,54.54545454545455,.6
2/17/2020 13:1:57,radial,10.144927536231885,.1
2/17/2020 13:1:57,small-multiple,62.06896551724138,10
2/17/2020 13:1:57,small-multiple,55.26315789473684,66
2/17/2020 13:1:57,small-multiple,2.2222222222222223,20
2/17/2020 13:1:57,bar,59.45945945945946,60
2/17/2020 13:1:57,bar,77.5,80
2/17/2020 13:1:57,bar,67.34693877551021,70
2/17/2020 13:1:57,pie,82.71604938271605,70
2/17/2020 13:1:57,pie,33.333333333333336,30
2/17/2020 13:1:57,pie,18.75,10
2/17/2020 13:2:45,radial,57.77777777777778,93
2/17/2020 13:2:45,radial,62.16216216216216,50
2/17/2020 13:2:45,radial,69.62025316455696,75
2/17/2020 13:2:45,small-multiple,62.62626262626262,60
2/17/2020 13:2:45,small-multiple,42.69662921348315,65
2/17/2020 13:2:45,small-multiple,15.662650602409638,10
2/17/2020 13:2:45,bar,54.11764705882353,50
2/17/2020 13:2:45,bar,31.372549019607842,20
2/17/2020 13:2:45,bar,95.3125,95
2/17/2020 13:2:45,pie,75.55555555555556,75
2/17/2020 13:2:45,pie,61.904761904761905,65
2/17/2020 13:2:45,pie,95.74468085106383,85
2/17/2020 13:8:31,radial,55.55555555555556,60
2/17/2020 13:8:31,radial,29.545454545454547,33
2/17/2020 13:8:31,radial,55.55555555555556,65
2/17/2020 13:8:31,small-multiple,48,47
2/17/2020 13:8:31,small-multiple,43.333333333333336,55
2/17/2020 13:8:31,small-multiple,28.125,30
2/17/2020 13:8:31,bar,65.38461538461539,75
2/17/2020 13:8:31,bar,96.5909090909091,95
2/17/2020 13:8:31,bar,52.459016393442624,50
2/17/2020 13:8:31,pie,26.31578947368421,30
2/17/2020 13:8:31,pie,100,99
2/17/2020 13:8:31,pie,100,95
2/17/2020 13:20:49,radial,56.79012345679013,50
2/17/2020 13:20:49,radial,81.81818181818181,85
2/17/2020 13:20:49,radial,84.21052631578948,90
2/17/2020 13:20:49,small-multiple,82.75862068965517,79
2/17/2020 13:20:49,small-multiple,66.66666666666667,65
2/17/2020 13:20:49,small-multiple,30.434782608695652,38
2/17/2020 13:20:49,bar,96.93877551020408,97
2/17/2020 13:20:49,bar,30.303030303030305,20
2/17/2020 13:20:49,bar,11.538461538461538,12
2/17/2020 13:20:49,pie,11.11111111111111,8
2/17/2020 13:20:49,pie,88.40579710144928,80
2/17/2020 13:20:49,pie,97.84946236559139,48
2/17/2020 13:32:51,radial,39.39393939393939,43
2/17/2020 13:32:51,radial,52.325581395348834,50
2/17/2020 13:32:51,radial,76.78571428571429,78
2/17/2020 13:32:51,small-multiple,65.51724137931035,50
2/17/2020 13:32:51,small-multiple,90.3225806451613,87
2/17/2020 13:32:51,small-multiple,32.97872340425532,38
2/17/2020 13:32:51,bar,100,99
2/17/2020 13:32:51,bar,58.333333333333336,60
2/17/2020 13:32:51,bar,28.26086956521739,26
2/17/2020 13:32:51,pie,66.66666666666667,80
2/17/2020 13:32:51,pie,50,49
